,count,mean,std,min,25%,50%,75%,max
Tensile_Strength_MPa,8.0,495.5,328.98,200.0,212.5,389.5,711.25,1030.0
Hardness_HB,8.0,179.88,102.5,60.0,116.0,149.5,230.5,334.0
Density_g_cm3,8.0,5.47,2.81,1.77,2.78,6.14,8.0,8.19
Corrosion_Rating,8.0,7.12,1.96,4.0,5.75,7.5,9.0,9.0
Processability_Rating,8.0,6.25,1.67,3.0,5.75,6.5,7.25,8.0
Cost_INR_kg,8.0,970.0,1172.69,180.0,300.0,400.0,1040.0,3100.0
