Alloy,Score,Rank
Ti-6Al-4V,0.6991,1
Inconel 718,0.5984,2
Aluminium 6061,0.5404,3
AISI 4140,0.5273,4
Aluminium 7075,0.5269,5
Stainless Steel 316,0.4829,6
Stainless Steel 304,0.4689,7
AZ31 Magnesium,0.3877,8
